City_ID,City,Country,Max Temp,Weather description,Lat,Lng,Hotel Name
307,Cabimas,VE,81.25,overcast clouds,10.3883,-71.4399,Sala velatoria
313,Komsomolskiy,UZ,83.12,clear sky,40.4272,71.7189,Ikathouse
315,Mankono,CI,80.85,broken clouds,8.0586,-6.1897,Hôtel cotonputeur
316,Kumo,NG,80.6,light rain,10.0447,11.2122,Ajegunle Lodge(corpers Lodge)
320,Palm Springs,US,75.04,clear sky,33.8303,-116.5453,The Colony Palms Hotel and Bungalows
321,Shagamu,NG,80.64,light rain,6.8432,3.6478,Remo Majestic Hotel
322,Vaitape,PF,76.89,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
324,Puerto Ayacucho,VE,77.81,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
327,Seoul,KR,81.84,overcast clouds,37.5683,126.9778,LOTTE HOTEL SEOUL
328,Cururupu,BR,83.66,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
331,Muros,ES,82.09,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
342,Fuerte,PH,80.1,broken clouds,17.5381,120.3644,Giordion Inn
344,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
354,Kannod,IN,79.88,scattered clouds,22.6667,76.7333,Puspendra Sardiya Kannod
361,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
363,Pundaguitan,PH,84.2,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
368,Bandarbeyla,SO,84.9,clear sky,9.4942,50.8122,JABIR HOTEL
369,Cancun,MX,80.53,few clouds,21.1743,-86.8466,Hotel Tankah Cancun
370,Mainit,PH,80.76,overcast clouds,9.535,125.5231,Kasili Lakeside Resort and Hotel
382,Moyale,KE,83.12,overcast clouds,3.5167,39.0584,La Tahzan Guest House
384,Austin,US,77.86,mist,30.2672,-97.7431,The Driskill
385,Sri Aman,MY,75.61,light rain,1.2376,111.4621,Seri Simanggang Hotel
388,Lorengau,PG,81.82,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
