City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather description
132,Tulagi,SB,-9.0996,160.1476,83.46,76,100,25.19,overcast clouds
133,Mandera,KE,3.9366,41.867,96.1,25,39,16.69,scattered clouds
134,Tucumcari,US,35.1717,-103.725,66.04,77,0,6.91,clear sky
135,Tuktoyaktuk,CA,69.4541,-133.0374,43.14,81,100,15.93,overcast clouds
136,Plouzane,FR,48.3833,-4.6167,64.45,58,20,8.05,few clouds
137,Korla,CN,41.7597,86.1469,77.83,14,100,5.64,overcast clouds
138,Dicabisagan,PH,17.0818,122.4157,78.66,88,100,2.17,overcast clouds
139,Port Keats,AU,-14.25,129.55,77.83,84,14,6.02,few clouds
140,Kaitangata,NZ,-46.2817,169.8464,43.54,94,100,6.73,overcast clouds
141,Am Timan,TD,11.0297,20.2827,79.18,74,91,8.77,overcast clouds
142,Mackenzie,CA,55.2999,-123.1698,46.62,93,100,6.91,overcast clouds
143,Joaima,BR,-16.6542,-41.0306,65.26,76,100,3.51,overcast clouds
144,Port Lincoln,AU,-34.7333,135.8667,50.41,70,97,4.23,overcast clouds
145,Luderitz,NA,-26.6481,15.1594,62.17,63,0,30.71,clear sky
146,Saint George,US,37.1041,-113.5841,70.25,48,0,12.66,clear sky
147,Marsh Harbour,BS,26.5412,-77.0636,82.99,72,100,12.88,overcast clouds
148,Provideniya,RU,64.3833,-173.3,42.6,88,100,6.64,overcast clouds
149,Dieppe,FR,49.75,1.1667,62.78,52,74,15.12,broken clouds
150,Huarmey,PE,-10.0681,-78.1522,62.37,88,84,6.73,broken clouds
151,San Quintin,MX,30.4833,-115.95,65.64,82,2,7.72,clear sky
152,Cape Town,ZA,-33.9258,18.4232,63.27,56,56,11.01,broken clouds
153,Corinto,GR,37.9407,22.9573,85.89,37,0,18.43,clear sky
154,Jianhu,CN,29.9799,120.5712,80.55,86,23,3.87,few clouds
155,Port Elizabeth,ZA,-33.918,25.5701,62.1,91,75,11.5,light rain
156,Ayr,GB,55.4627,-4.6339,62.51,72,40,12.66,scattered clouds
157,Victor Harbor,AU,-35.5667,138.6167,51.01,87,99,9.15,overcast clouds
158,Yumbing,PH,9.2393,124.6578,82.58,77,100,5.77,overcast clouds
159,Vao,NC,-22.6667,167.4833,72.68,80,2,16.51,clear sky
160,Aguie,NE,13.506,7.7786,87.98,45,100,4.12,overcast clouds
161,Galle,LK,6.0367,80.217,80.11,82,100,10.02,overcast clouds
162,Hofn,IS,64.2539,-15.2082,45.66,74,37,0.96,scattered clouds
163,Kananga,CD,-5.8958,22.4178,85.64,45,100,4.94,overcast clouds
164,Chicama,PE,-7.8447,-79.1469,64.53,82,62,4.23,broken clouds
165,Flinders,AU,-34.5833,150.8552,59.18,62,0,4.0,clear sky
166,Araguacu,BR,-12.9306,-49.8264,93.42,32,84,5.61,broken clouds
167,Westlock,CA,54.1502,-113.8688,46.11,86,92,15.57,light rain
168,Carlyle,US,38.6103,-89.3726,70.2,84,47,3.0,scattered clouds
169,Half Moon Bay,US,37.4636,-122.4286,64.62,79,75,16.11,light rain
170,Yenagoa,NG,4.9247,6.2642,83.75,67,93,8.19,moderate rain
171,Gorshechnoye,RU,51.5244,38.0365,70.92,76,17,18.81,light rain
172,Dikson,RU,73.5069,80.5464,31.78,80,18,20.62,few clouds
173,Berlevag,NO,70.8578,29.0864,46.35,93,100,17.27,light rain
174,Bokoro,TD,12.3807,17.0568,81.97,64,100,10.54,overcast clouds
175,Mar Del Plata,AR,-38.0023,-57.5575,55.94,94,100,11.99,overcast clouds
176,Tifton,US,31.4505,-83.5085,69.76,91,0,10.42,clear sky
177,Aden,YE,12.7794,45.0367,90.41,68,14,12.28,few clouds
178,Codrington,AU,-38.2667,141.9667,49.12,67,100,16.91,overcast clouds
179,Cairns,AU,-16.9167,145.7667,78.75,89,75,5.75,broken clouds
180,Airai,TL,-8.9266,125.4092,61.41,66,91,2.1,overcast clouds
181,Touros,BR,-5.1989,-35.4608,83.21,65,58,14.99,broken clouds
182,Kirakira,SB,-10.4544,161.9205,80.37,83,100,11.72,overcast clouds
183,Cienfuegos,CU,22.1461,-80.4356,80.74,89,20,3.44,few clouds
184,Mala,PE,-12.6581,-76.6308,63.97,77,97,4.36,overcast clouds
185,Xifeng,CN,42.7372,124.7222,53.6,68,0,2.66,clear sky
186,Saint-Philippe,RE,-21.3585,55.7679,74.79,79,36,14.36,light rain
187,Araci,BR,-11.3333,-38.9667,82.36,45,16,10.02,few clouds
188,Riyadh,SA,24.6877,46.7219,104.14,9,1,10.56,clear sky
189,Varazze,IT,44.3595,8.5741,76.84,63,2,5.99,clear sky
190,Bahia Blanca,AR,-38.7196,-62.2724,54.46,89,100,10.33,overcast clouds
191,Barsovo,RU,61.1667,73.1667,48.33,91,100,16.08,light rain
192,Maragogi,BR,-9.0122,-35.2225,80.38,69,51,10.8,broken clouds
193,Altay,CN,47.8667,88.1167,53.58,31,0,3.0,clear sky
194,Floro,NO,61.5996,5.0328,57.27,67,40,14.97,scattered clouds
195,Puqi,CN,29.7167,113.8833,78.48,53,3,3.76,clear sky
196,Bontang,ID,0.1333,117.5,81.59,82,15,5.39,few clouds
197,Havoysund,NO,70.9963,24.6622,44.83,90,100,22.28,overcast clouds
198,Iberia,US,29.9502,-91.7507,77.05,88,0,4.61,clear sky
199,Urucara,BR,-2.5364,-57.76,91.67,41,19,5.28,few clouds
200,Benguela,AO,-12.5763,13.4055,77.45,63,5,11.18,clear sky
201,Puerto Del Rosario,ES,28.5004,-13.8627,85.75,48,40,13.8,scattered clouds
202,Itarema,BR,-2.9248,-39.9167,86.59,57,43,16.71,scattered clouds
203,Celestun,MX,20.8667,-90.4,77.34,86,5,7.58,clear sky
204,Hami,CN,42.8,93.45,72.27,13,100,2.77,overcast clouds
205,Concepcion,CL,-36.827,-73.0498,45.28,65,2,4.56,clear sky
206,Kavaratti,IN,10.5669,72.642,81.68,77,87,12.68,overcast clouds
207,Esik,KZ,43.3552,77.4525,71.02,34,62,2.01,broken clouds
208,Hamilton,US,39.1834,-84.5333,67.98,90,40,1.01,fog
209,Boffa,GN,10.1667,-14.0333,83.5,78,99,4.41,light rain
210,Phalaborwa,ZA,-23.943,31.1411,93.56,14,0,7.14,clear sky
211,Victoria,HK,22.2855,114.1577,86.38,77,61,5.99,broken clouds
212,Zyryanka,RU,65.75,150.85,38.46,54,17,6.33,few clouds
213,Chapais,CA,49.7834,-74.8492,42.84,50,100,8.57,overcast clouds
214,Tingo Maria,PE,-9.2895,-76.0088,73.29,81,15,0.72,few clouds
215,Katobu,ID,-4.9408,122.5276,76.69,86,99,5.68,overcast clouds
216,Bonthe,SL,7.5264,-12.505,73.98,96,100,8.41,heavy intensity rain
217,Gat,IL,31.61,34.7642,86.4,100,3,13.96,clear sky
218,Andenes,NO,69.3143,16.1194,49.93,93,75,23.02,light intensity drizzle
219,Jinka,ET,5.65,36.65,83.61,31,89,2.06,overcast clouds
220,Tommot,RU,58.9564,126.2925,30.94,82,100,9.48,overcast clouds
221,Angoram,PG,-4.0625,144.0661,75.11,93,100,0.36,overcast clouds
222,Kloulklubed,PW,7.0419,134.2556,80.44,82,100,18.41,moderate rain
223,Omboue,GA,-1.5746,9.2618,79.16,71,100,9.15,overcast clouds
224,Aromashevo,RU,56.8602,68.6375,60.39,39,100,10.51,overcast clouds
225,Buta,CD,2.7858,24.73,80.76,67,94,3.8,overcast clouds
226,Jiayuguan,CN,39.8167,98.3,69.57,32,100,8.52,overcast clouds
227,Kindu,CD,-2.95,25.95,72.93,92,100,2.77,overcast clouds
228,Tasiilaq,GL,65.6145,-37.6368,42.96,95,100,16.96,moderate rain
229,Svetlogorsk,BY,52.6333,29.7333,49.21,94,100,19.37,overcast clouds
230,Tahe,CN,52.3333,124.7333,35.91,66,28,15.93,scattered clouds
231,Shamkhal,RU,43.0596,47.3373,77.02,54,49,18.14,scattered clouds
232,Abu Dhabi,AE,24.4667,54.3667,95.11,55,0,10.36,clear sky
233,Talcahuano,CL,-36.7167,-73.1167,40.68,81,0,5.75,clear sky
234,Skegness,GB,53.1436,0.3363,62.35,56,63,19.53,broken clouds
235,Cotonou,BJ,6.3654,2.4183,79.97,78,51,14.05,light rain
236,Crotone,IT,39.0851,17.1178,78.19,40,34,12.5,scattered clouds
237,Sulangan,PH,11.1373,123.7228,84.99,71,91,2.64,heavy intensity rain
238,Thinadhoo,MV,0.5333,72.9333,83.1,69,82,7.34,broken clouds
239,Okha,RU,53.5739,142.9478,51.62,98,100,18.9,light rain
240,Thompson,CA,55.7435,-97.8558,51.67,89,100,4.09,overcast clouds
241,Nurota,UZ,40.5614,65.6886,84.63,16,0,13.2,clear sky
242,Portland,US,45.5234,-122.6762,58.98,82,75,3.0,broken clouds
243,Mount Isa,AU,-20.7333,139.5,73.17,28,0,4.61,clear sky
244,Orbetello,IT,42.4408,11.2196,73.45,33,0,8.16,clear sky
245,Qaqortoq,GL,60.7167,-46.0333,51.55,60,82,7.23,broken clouds
246,Yola,NG,9.2,12.4833,84.4,66,82,1.03,light rain
247,Bardiyah,LY,31.7561,25.0865,83.19,53,0,14.25,clear sky
248,Kalabo,ZM,-14.97,22.6814,100.33,11,1,2.82,clear sky
249,Roma,US,43.2128,-75.4557,70.83,91,100,3.44,overcast clouds
250,Kargat,RU,55.1956,80.2811,51.53,59,10,2.68,clear sky
251,Cidreira,BR,-30.1811,-50.2056,63.41,68,97,14.09,overcast clouds
252,Sobolevo,RU,54.4299,31.8996,53.11,77,100,8.84,light rain
253,Saldanha,ZA,-33.0117,17.9442,58.64,59,0,19.3,clear sky
254,Glenwood Springs,US,39.5505,-107.3248,54.63,45,0,6.91,clear sky
255,Assiniboia,CA,49.6334,-105.9845,49.71,70,0,7.29,clear sky
256,Mehamn,NO,71.0357,27.8492,46.31,93,75,19.57,broken clouds
257,Ambon,ID,-3.6954,128.1814,82.24,13,75,4.61,broken clouds
258,Coihaique,CL,-45.5752,-72.0662,39.15,56,75,3.44,broken clouds
259,Rawson,AR,-43.3002,-65.1023,46.76,58,100,19.42,overcast clouds
260,Mangan,IN,27.5167,88.5333,76.71,93,39,1.95,scattered clouds
261,Halifax,CA,44.6453,-63.5724,59.45,83,100,3.0,overcast clouds
262,Mercedes,AR,-34.6515,-59.4307,65.79,56,100,10.29,overcast clouds
263,Dori,BF,14.0354,-0.0345,83.91,60,100,9.33,light rain
264,Sisimiut,GL,66.9395,-53.6735,42.1,92,100,13.02,overcast clouds
265,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,80.65,68,43,11.3,scattered clouds
266,Nanortalik,GL,60.1432,-45.2371,47.14,72,83,6.51,broken clouds
267,Phan Thiet,VN,10.9333,108.1,80.04,82,100,7.94,overcast clouds
268,Kita,ML,13.0349,-9.4895,84.29,61,98,4.94,overcast clouds
269,Along,IN,28.1667,94.7667,78.76,93,7,0.29,clear sky
270,Guerrero Negro,MX,27.9769,-114.0611,66.78,85,1,10.25,clear sky
271,Bykovo,RU,55.6361,38.0803,55.13,94,100,8.95,overcast clouds
272,Hithadhoo,MV,-0.6,73.0833,82.72,71,95,7.52,overcast clouds
273,Winnemucca,US,40.973,-117.7357,44.65,61,0,6.91,clear sky
274,Montijo,PT,38.7067,-8.9739,86.58,52,0,6.91,clear sky
275,Manokwari,ID,-0.8667,134.0833,78.85,77,100,2.48,overcast clouds
276,Ostrovnoy,RU,68.0531,39.5131,48.13,98,100,10.02,light rain
277,Matagami,CA,49.7502,-77.6328,45.52,65,100,8.66,overcast clouds
278,Castro,BR,-24.7911,-50.0119,57.83,64,0,11.7,clear sky
